Similarity score	Advertiser	Potential duplicate
1.00	Time Inc.	Time, Inc.
1.00	VA Mortgage Center.com	VAMortgageCenter.com
1.00	Smarter Travel Media LLC	Smarter Travel Media LLC.
1.00	Pura Cleanse	PuraCleanse
1.00	CyberPower Inc.	CyberPower Inc
1.00	OneHourTranslation	One Hour Translation
1.00	Vitamix Corporation	Vita-Mix Corporation
1.00	MyWireless	My Wireless
1.00	CyberPower Inc	CyberPower Inc.
1.00	Ending Spending, Inc.	Ending Spending Inc
1.00	J. Edgar Movie	J Edgar Movie
1.00	My Wireless	MyWireless
1.00	Festival Fun Parks LLC	Festival Fun Parks, LLC
1.00	Recyclebank	Recycle Bank
1.00	Vita-Mix Corporation	Vitamix Corporation
1.00	Bandoo Media Inc.	Bandoo Media, Inc.
1.00	Minyanville Media, Inc	Minyanville Media, Inc.
1.00	Centaur Media Plc.	Centaur Media PLC
1.00	PuraCleanse	Pura Cleanse
1.00	W3i, LLC	W3i, LLC.
1.00	Ending Spending Inc	Ending Spending, Inc.
1.00	Parent Media Group Inc.	Parent Media Group, Inc.
1.00	Smarter Travel Media LLC.	Smarter Travel Media LLC
1.00	Verti Technology Group, Inc.	Verti Technology Group, Inc
1.00	Splunk Inc.	Splunk, Inc.
1.00	Minyanville Media, Inc.	Minyanville Media, Inc
1.00	Curves International, Inc.	Curves International, Inc
1.00	Time, Inc.	Time Inc.
1.00	Curves International, Inc	Curves International, Inc.
1.00	J Edgar Movie	J. Edgar Movie
1.00	The E. W. Scripps Company	The E.W. Scripps Company
1.00	Parent Media Group, Inc.	Parent Media Group Inc.
1.00	Hearthware, Inc.	Hearthware,Inc.
1.00	Centaur Media PLC	Centaur Media Plc.
1.00	PC Tools	PCTools
1.00	VAMortgageCenter.com	VA Mortgage Center.com
1.00	Festival Fun Parks, LLC	Festival Fun Parks LLC
1.00	PCTools	PC Tools
1.00	Take Two Interactive Software Inc.	Take-Two Interactive Software, Inc.
1.00	Splunk, Inc.	Splunk Inc.
1.00	Rooms To Go, Inc. 	Rooms To Go, Inc.
1.00	Hearthware,Inc.	Hearthware, Inc.
1.00	Take-Two Interactive Software, Inc.	Take Two Interactive Software Inc.
1.00	Bandoo Media, Inc.	Bandoo Media Inc.
1.00	Recycle Bank	Recyclebank
1.00	SolarWinds, Inc.	SolarWinds Inc.
1.00	Rooms To Go, Inc.	Rooms To Go, Inc. 
1.00	SolarWinds Inc.	SolarWinds, Inc.
1.00	Grind Media, LLC	GrindMedia, LLC.
1.00	GrindMedia, LLC.	Grind Media, LLC
1.00	The E.W. Scripps Company	The E. W. Scripps Company
1.00	W3i, LLC.	W3i, LLC
1.00	One Hour Translation	OneHourTranslation
1.00	Verti Technology Group, Inc	Verti Technology Group, Inc.
0.92	President and Fellows of Harvard College	President & Fellows of Harvard College
0.92	President & Fellows of Harvard College	President and Fellows of Harvard College
0.89	FilmDistrict Distribution, LLC	FilmDistrict Distribution
0.89	FilmDistrict Distribution	FilmDistrict Distribution, LLC
0.88	The Las Vegas Review-Journal	Las Vegas Review-Journal
0.88	Las Vegas Review-Journal	The Las Vegas Review-Journal
0.86	The Twilight Saga Breaking Dawn - Part 2 Movie	The Twilight Saga Breaking Dawn - Part 1 Movie
0.86	The Twilight Saga Breaking Dawn - Part 1 Movie	The Twilight Saga Breaking Dawn - Part 2 Movie
0.83	Air National Guard	National Guard
0.83	Align Technology	Align Technology, Inc.
0.83	The Beer Institute	Beer Institute
0.83	BackyardLiberty.com	Backyard Liberty
0.83	Beer Institute	The Beer Institute
0.83	Pure Green Coffee	PureGreenCoffee.Com
0.83	National Guard	Air National Guard
0.83	brightsolid online publishing (US) Inc	brightsolid online publishing (UK) Inc
0.83	brightsolid online publishing (UK) Inc	brightsolid online publishing (US) Inc
0.83	Align Technology, Inc.	Align Technology
0.83	Backyard Liberty	BackyardLiberty.com
0.83	PureGreenCoffee.Com	Pure Green Coffee
0.82	America�s Cup Event Authority LLC	America's Cup Event Authority LLC
0.82	America's Cup Event Authority LLC	America�s Cup Event Authority LLC
0.80	Discount Tire	ETD Discount Tire
0.80	MyPlay Direct	MyPlay Direct, Inc.
0.80	Blue Star Jets, LLC	Bluestar Jets
0.80	FreeScore360.com	FreeScore.com
0.80	Regional Tourism Organization 7	Regional Tourism Organization #3
0.80	Sprout Social	Sprout Social, Inc.
0.80	Regional Tourism Organization #3	Regional Tourism Organization 7
0.80	InteleTravel	InteleTravel.com
0.80	Bluestar Jets	Blue Star Jets, LLC
0.80	MyPlay Direct, Inc.	MyPlay Direct
0.80	Schwan's Consumer Brands, Inc.	Schwan�s Consumer Brands, Inc.
0.80	FreeScore.com	FreeScore360.com
0.80	Simply Wheelz	SimplyWheelz, LLC
0.80	ETD Discount Tire	Discount Tire
0.80	Schwan�s Consumer Brands, Inc.	Schwan's Consumer Brands, Inc.
0.80	SimplyWheelz, LLC	Simply Wheelz
0.80	Sprout Social, Inc.	Sprout Social
0.80	InteleTravel.com	InteleTravel